id,time,source_sha,source,direction,grade,entry,sl,tp1,tp2,rr1,blocker,other_gates,horizon_hours,fees,outcome,gross_r,closed_at,coverage
SELL:20260917T1830:4353.72,2026-09-17T18:46:39.164098+00:00,93be0974b187f15607e3b90594e27ca222e86060,dukascopy,SELL,B,4351.785,4355.068885214427,4345.217229571146,4341.933344356719,2.0,"break diveto tren H1 ekstrem (+0.60 ATR, slope EMA20 belum turun)","[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 47, MACD hist -2.79""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]",2,gross; fees/slippage not modeled,LOSS,-1.0,2026-09-17T19:05:00+00:00,3/24 closed M5 bars; entry lag 200.836s; 
SELL:20260917T1915:4351.39,2026-09-17T19:32:08.514340+00:00,93be0974b187f15607e3b90594e27ca222e86060,dukascopy,SELL,B,4342.925,4346.158764788061,4336.457470423879,4333.223705635819,2.0,"break diveto tren H1 ekstrem (+0.63 ATR, slope EMA20 belum turun)","[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 41, MACD hist -3.32""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]",2,gross; fees/slippage not modeled,LOSS,-1.0,2026-09-17T19:50:00+00:00,3/24 closed M5 bars; entry lag 171.486s; 
SELL:20260918T1130:4377.08,2026-09-18T11:46:06.638767+00:00,93be0974b187f15607e3b90594e27ca222e86060,twelvedata,SELL,B,4376.04243,4379.28690828142,4369.55347343716,4366.30899515574,2.0,"break diveto tren H1 ekstrem (+1.30 ATR, slope EMA20 belum turun)","[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": false, ""note"": ""RSI 46, MACD hist -2.22""}, {""name"": ""Liquidity Sweep M5"", ""passed"": true, ""note"": ""wick tembus high $4381.93, close balik turun""}]",2,gross; fees/slippage not modeled,LOSS,-1.0,2026-09-18T12:00:00+00:00,2/24 closed M5 bars; entry lag 233.361s; 
SELL:20260918T1215:4373.43,2026-09-18T12:31:29.544990+00:00,93be0974b187f15607e3b90594e27ca222e86060,twelvedata,SELL,B,4357.35367,4361.654623411609,4348.751763176784,4344.450809765176,2.0,"break diveto tren H1 ekstrem (+1.29 ATR, slope EMA20 belum turun)","[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 33, MACD hist -3.33""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]",2,gross; fees/slippage not modeled,LOSS,-1.0,2026-09-18T12:40:00+00:00,1/24 closed M5 bars; entry lag 210.455s; 
